PLAYER_ID,TEAM_ABBREVIATION,defense_address_PLAYER,defense_address_GP,defense_address_MIN,defense_address_BLK,defense_address_STL,defense_address_FGM_DEFEND_RIM,defense_address_FGA_DEFEND_RIM,defense_address_FGP_DEFEND_RIM,defense_address_BLK_TOT,drives_address_DVS,drives_address_DPP,drives_address_DTP,drives_address_FG_PCT,drives_address_PTS_48,drives_address_DPP_TOT,drives_address_DVS_TOT,shooting_address_PTS,shooting_address_PTS_CLOSE,shooting_address_FGP_CLOSE,shooting_address_PTS_CATCH_SHOOT,shooting_address_FGP_CATCH_SHOOT,shooting_address_PTS_PULL_UP,shooting_address_FGP_PULL_UP,shooting_address_FGA_DRIVE,shooting_address_FGA_CLOSE,shooting_address_FGA_CATCH_SHOOT,shooting_address_FGA_PULL_UP,shooting_address_EFG_PCT,shooting_address_CFGM,passing_address_PASS,passing_address_AST,passing_address_AST_FT,passing_address_AST_SEC,passing_address_AST_POT,passing_address_PTS_CRT,passing_address_PTS_CRT_48,passing_address_AST_TOT,speed_address_DIST,speed_address_AV_SPD,speed_address_DIST_PG,speed_address_DIST_48,speed_address_DIST_OFF,speed_address_DIST_DEF,pullup_address_FGM,pullup_address_FG3M,pullup_address_FG3A,pullup_address_FG3_PCT,pullup_address_EFG_PCT,pullup_address_PTS_TOT,rebounding_address_REB,rebounding_address_REB_CHANCE,rebounding_address_REB_COL_PCT,rebounding_address_REB_CONTESTED,rebounding_address_REB_UNCONTESTED,rebounding_address_REB_UNCONTESTED_PCT,rebounding_address_REB_TOT,rebounding_address_OREB,rebounding_address_OREB_CHANCE,rebounding_address_OREB_COL_PCT,rebounding_address_OREB_CONTESTED,rebounding_address_OREB_UNCONTESTED,rebounding_address_OREB_UNCONTESTED_PCT,rebounding_address_DREB,rebounding_address_DREB_CHANCE,rebounding_address_DREB_COL_PCT,rebounding_address_DREB_CONTESTED,rebounding_address_DREB_UNCONTESTED,rebounding_address_DREB_UNCONTESTED_PCT,touches_address_TCH,touches_address_FC_TCH,touches_address_TOP,touches_address_CL_TCH,touches_address_EL_TCH,touches_address_PTS_TCH,touches_address_PTS_HCCT,touches_address_TCH_TOT,catchshoot_address_FGM,catchshoot_address_FG3M,catchshoot_address_FG3A,catchshoot_address_FG3_PCT,catchshoot_address_EFG_PCT,catchshoot_address_PTS_TOT
101106,GSW,Andrew Bogut,66.0,23.5,1.7,0.6,3.0,7.2,0.414,111.0,0.5,0.4,0.6,0.611,0.7,24.0,30.0,6.3,2.9,0.637,0.0,0.0,0.2,0.316,0.3,2.2,0.1,0.3,0.561,0.0,33.9,2.7,0.1,0.8,5.2,6.4,13.0,177.0,96.6,3.7,1.5,3.0,50.9,45.8,0.1,0.0,0.0,,0.316,12.0,8.1,12.3,0.655,3.5,4.6,0.431,534.0,2.1,3.2,0.65,1.5,0.6,0.698,6.0,9.1,0.657,2.0,4.0,0.337,42.1,23.9,1.2,3.6,2.7,0.15,0.265,2780.0,0.0,0.0,0.0,,0.0,0.0
101107,CHA,Marvin Williams,78.0,26.1,0.5,0.9,1.8,3.5,0.52,36.0,1.1,0.7,1.3,0.429,1.2,53.0,89.0,7.4,0.4,0.65,4.5,0.385,0.4,0.4,0.6,0.3,4.4,0.4,0.52,0.0,48.2,1.3,0.1,0.3,2.8,3.0,5.5,100.0,139.4,4.1,1.8,3.3,79.8,59.5,0.2,0.0,0.1,0.5,0.443,31.0,4.9,8.1,0.609,1.2,3.8,0.24100000000000002,386.0,0.7,1.5,0.504,0.4,0.3,0.586,4.2,6.7,0.632,0.8,3.4,0.18,56.2,24.8,0.9,0.4,1.9,0.132,0.299,4382.0,1.7,1.2,3.3,0.358,0.521,354.0
101108,LAC,Chris Paul,82.0,34.9,0.2,1.9,0.8,1.5,0.529,15.0,5.4,2.9,6.5,0.495,3.9,235.0,442.0,19.1,0.2,0.5,1.9,0.43,10.3,0.477,2.3,0.2,1.6,9.7,0.545,0.0,70.2,10.2,1.0,2.8,19.2,23.8,32.7,838.0,185.6,3.9,2.3,3.1,100.1,85.4,4.6,1.1,2.7,0.402,0.534,846.0,4.6,7.0,0.653,0.9,3.7,0.19399999999999998,376.0,0.6,1.1,0.5589999999999999,0.2,0.4,0.327,4.0,5.9,0.6709999999999999,0.7,3.3,0.17300000000000001,93.7,80.8,7.8,0.7,2.2,0.203,0.236,7687.0,0.7,0.5,1.4,0.393,0.602,154.0
101109,DAL,Raymond Felton,29.0,9.7,0.1,0.4,0.3,0.8,0.409,4.0,1.8,1.0,1.9,0.429,4.9,29.0,53.0,3.7,0.1,0.5,0.8,0.409,1.3,0.354,1.0,0.1,0.8,1.7,0.453,0.0,15.0,1.4,0.1,0.3,3.4,3.5,17.2,41.0,19.1,4.1,0.7,3.3,10.1,9.1,0.6,0.1,0.6,0.25,0.396,38.0,0.9,1.8,0.5,0.2,0.7,0.192,26.0,0.1,0.3,0.25,0.0,0.1,0.0,0.8,1.5,0.545,0.2,0.7,0.20800000000000002,20.4,17.0,1.5,0.1,0.4,0.182,0.22,592.0,0.3,0.2,0.6,0.333,0.545,24.0
101110,WAS,Martell Webster,32.0,11.0,0.0,0.2,0.3,0.4,0.643,1.0,0.5,0.3,0.3,0.0,1.2,9.0,17.0,3.3,0.4,0.5,0.8,0.2,0.6,0.333,0.2,0.1,1.4,0.8,0.319,0.0,9.6,0.5,0.0,0.0,1.1,1.1,4.8,17.0,24.7,4.2,0.8,3.4,13.5,11.2,0.2,0.1,0.1,0.5,0.375,18.0,1.4,2.1,0.687,0.4,1.0,0.304,46.0,0.3,0.5,0.588,0.2,0.1,0.7,1.1,1.6,0.72,0.2,0.9,0.19399999999999998,14.5,11.1,0.4,0.4,0.8,0.229,0.298,463.0,0.3,0.2,1.2,0.205,0.289,26.0
101111,DAL,Charlie Villanueva,64.0,10.6,0.3,0.2,1.0,2.1,0.5,22.0,0.9,0.6,0.8,0.381,2.6,37.0,55.0,6.3,0.2,0.615,4.0,0.386,0.4,0.444,0.7,0.2,3.6,0.4,0.529,0.0,13.1,0.3,0.1,0.1,0.5,0.7,3.3,19.0,47.0,4.2,0.7,3.3,24.8,22.2,0.2,0.1,0.1,0.444,0.519,28.0,2.3,3.8,0.621,0.8,1.5,0.36200000000000004,149.0,0.5,0.8,0.625,0.4,0.1,0.833,1.9,3.0,0.62,0.5,1.4,0.244,19.9,11.0,0.4,0.4,0.5,0.316,0.574,1274.0,1.4,1.2,3.3,0.376,0.559,255.0
101112,ORL,Channing Frye,75.0,24.9,0.5,0.6,2.9,5.6,0.519,39.0,0.3,0.1,0.3,0.214,0.2,9.0,26.0,7.3,0.2,0.429,5.9,0.407,0.4,0.317,0.2,0.2,5.1,0.5,0.532,0.0,40.4,1.3,0.1,0.3,2.2,2.9,5.5,94.0,118.6,3.8,1.6,3.0,66.5,52.2,0.2,0.0,0.2,0.25,0.354,29.0,3.9,7.1,0.552,1.1,2.8,0.28300000000000003,293.0,0.4,0.7,0.54,0.2,0.2,0.556,3.5,6.4,0.5529999999999999,0.9,2.6,0.256,48.8,23.6,0.8,0.4,1.1,0.15,0.31,3663.0,2.1,1.8,4.4,0.401,0.58,442.0
101114,BKN,Deron Williams,68.0,31.1,0.2,0.9,0.9,1.5,0.586,17.0,7.2,3.9,8.3,0.41,6.0,263.0,493.0,13.0,0.3,0.389,3.4,0.457,3.2,0.323,3.4,0.3,2.7,4.3,0.443,0.0,57.3,6.6,0.5,1.6,13.1,15.0,23.2,448.0,144.6,4.1,2.1,3.3,78.7,65.9,1.4,0.4,1.3,0.284,0.366,215.0,3.5,5.4,0.6509999999999999,0.5,3.0,0.131,237.0,0.4,0.8,0.518,0.1,0.3,0.31,3.1,4.5,0.675,0.3,2.7,0.106,75.4,66.4,6.5,0.7,1.6,0.172,0.196,5127.0,1.2,0.9,2.1,0.425,0.625,230.0
101122,MIA,Danny Granger,29.0,20.4,0.2,0.4,0.9,1.5,0.591,6.0,1.7,0.9,1.5,0.313,2.0,25.0,48.0,6.2,0.4,0.833,3.3,0.35,0.7,0.391,0.6,0.2,3.4,0.8,0.481,0.0,17.0,0.6,0.0,0.2,1.8,1.3,3.2,16.0,39.4,4.0,1.4,3.2,21.6,17.8,0.3,0.0,0.1,0.5,0.413,19.0,2.5,4.7,0.541,0.7,1.9,0.26,73.0,0.7,1.3,0.541,0.3,0.3,0.5,1.8,3.4,0.541,0.3,1.5,0.17,24.4,16.3,0.6,0.5,1.0,0.253,0.378,708.0,1.2,0.9,2.7,0.342,0.485,97.0
101123,PHX,Gerald Green,74.0,19.6,0.2,0.6,0.6,1.1,0.538,12.0,2.2,1.4,2.7,0.43,3.5,106.0,163.0,11.9,0.4,0.714,4.4,0.394,3.7,0.376,1.2,0.3,3.9,4.2,0.504,0.0,15.5,1.2,0.2,0.2,2.3,3.0,7.3,91.0,100.3,4.2,1.4,3.3,51.7,48.5,1.6,0.6,1.7,0.318,0.441,277.0,2.5,3.8,0.6579999999999999,0.5,2.0,0.209,186.0,0.4,0.8,0.607,0.2,0.2,0.47100000000000003,2.1,3.1,0.6709999999999999,0.3,1.8,0.15,29.1,23.5,1.3,0.5,1.1,0.411,0.507,2152.0,1.6,1.2,3.3,0.376,0.551,322.0
